iter	Passed	Remaining
0	1	192
1	3	182
2	5	176
3	6	164
4	8	166
5	10	165
6	12	164
7	14	162
8	15	160
9	17	158
10	19	156
11	21	155
12	22	153
13	24	153
14	26	152
15	28	150
16	30	148
17	32	147
18	34	145
19	35	143
20	37	141
21	39	139
22	41	137
23	42	136
24	45	135
25	46	133
26	48	131
27	50	129
28	52	127
29	54	126
30	55	124
31	57	122
32	59	120
33	61	118
34	63	117
35	64	115
36	66	113
37	68	111
38	70	110
39	72	108
40	73	106
41	74	102
42	76	101
43	77	99
44	79	97
45	81	95
46	83	93
47	85	92
48	86	90
49	88	88
50	90	86
51	92	85
52	94	84
53	96	82
54	97	80
55	99	78
56	101	76
57	103	74
58	105	72
59	106	71
60	108	69
61	110	67
62	112	65
63	114	64
64	115	62
65	117	60
66	119	58
67	121	57
68	123	55
69	124	53
70	126	51
71	128	49
72	129	48
73	131	46
74	133	44
75	135	42
76	137	40
77	138	39
78	140	37
79	142	35
80	144	33
81	145	32
82	147	30
83	149	28
84	151	26
85	152	24
86	154	23
87	156	21
88	158	19
89	159	17
90	161	15
91	163	14
92	165	12
93	166	10
94	168	8
95	170	7
96	172	5
97	173	3
98	175	1
99	177	0
