iter	Passed	Remaining
0	0	68
1	1	64
2	1	61
3	2	58
4	3	58
5	3	58
6	4	57
7	4	56
8	5	56
9	6	55
10	7	56
11	7	56
12	8	56
13	9	56
14	10	56
15	10	56
16	11	56
17	12	56
18	13	55
19	13	55
20	14	55
21	15	55
22	16	55
23	17	54
24	18	55
25	19	55
26	20	54
27	21	54
28	21	53
29	22	53
30	23	52
31	24	51
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	29	47
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	41
47	37	40
48	38	40
49	40	40
50	41	39
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
