iter	Passed	Remaining
0	49	49324
1	49	24887
2	50	16741
3	50	12657
4	51	10219
5	51	8582
6	52	7415
7	52	6544
8	53	5865
9	53	5320
10	54	4876
11	54	4503
12	55	4189
13	55	3926
14	56	3697
15	56	3494
16	57	3317
17	57	3158
18	58	3039
19	59	2908
20	59	2791
21	60	2686
22	60	2589
23	61	2499
24	62	2418
25	62	2341
26	63	2270
27	63	2204
28	64	2144
29	64	2089
30	65	2036
31	65	1988
32	66	1945
33	66	1901
34	67	1858
35	67	1819
36	68	1783
37	69	1749
38	69	1716
39	70	1684
40	70	1654
41	71	1625
42	71	1598
43	72	1572
44	72	1547
45	73	1522
46	73	1498
47	74	1476
48	74	1455
49	75	1435
50	76	1415
51	76	1395
52	77	1377
53	77	1359
54	78	1342
55	78	1326
56	79	1310
57	79	1295
58	80	1280
59	80	1266
60	81	1252
61	81	1238
62	82	1225
63	82	1212
64	83	1201
65	84	1189
66	84	1178
67	85	1167
68	85	1156
69	86	1145
70	86	1135
71	87	1124
72	87	1114
73	88	1104
74	88	1094
75	89	1085
76	89	1076
77	90	1068
78	90	1059
79	91	1054
80	92	1045
81	92	1037
82	92	1027
83	93	1019
84	94	1011
85	94	1004
86	95	997
87	95	990
88	96	983
89	96	976
90	97	969
91	97	963
92	98	957
93	98	951
94	99	945
95	99	939
96	100	933
97	100	927
98	101	922
99	101	916
100	102	911
101	102	906
102	103	902
103	104	897
104	104	891
105	105	887
106	105	882
107	106	877
108	106	872
109	107	867
110	107	862
111	108	858
112	108	853
113	109	849
114	109	845
115	110	840
116	110	835
117	111	831
118	111	827
119	112	823
120	112	820
121	113	815
122	113	811
123	114	808
124	114	803
125	115	801
126	115	796
127	116	792
128	116	789
129	117	786
130	118	783
131	118	779
132	119	776
133	119	773
134	120	769
135	120	766
136	121	763
137	121	760
138	122	757
139	122	754
140	123	751
141	123	747
142	124	744
143	124	741
144	125	738
145	125	735
146	126	732
147	126	729
148	127	727
149	127	724
150	128	721
151	128	719
152	129	716
153	129	714
154	130	711
155	131	708
156	131	706
157	132	703
158	132	701
159	133	698
160	133	695
161	133	693
162	134	690
163	135	688
164	135	685
165	135	683
166	136	680
167	136	677
168	137	674
169	137	672
170	138	669
171	138	667
172	139	664
173	139	662
174	139	659
175	140	657
176	140	655
177	141	652
178	141	650
179	142	648
180	142	645
181	143	643
182	143	641
183	144	638
184	144	636
185	144	633
186	145	631
187	145	629
188	146	627
189	146	625
190	147	622
191	147	620
192	147	618
193	148	615
194	148	613
195	149	611
196	149	609
197	149	606
198	150	604
199	150	602
200	151	600
201	151	598
202	151	596
203	152	593
204	152	591
205	152	589
206	153	587
207	153	585
208	154	583
209	154	581
210	154	579
211	155	577
212	155	575
213	156	573
214	156	571
215	156	569
216	157	567
217	157	566
218	158	564
219	158	562
220	158	560
221	159	558
222	159	556
223	160	554
224	160	554
225	161	552
226	161	550
227	162	548
228	162	547
229	162	545
230	163	543
231	163	541
232	164	539
233	164	537
234	164	536
235	165	534
236	165	532
237	165	530
238	166	529
239	166	527
240	166	525
241	167	523
242	167	521
243	167	520
244	168	518
245	168	516
246	168	514
247	169	513
248	169	511
249	170	510
250	170	508
251	170	507
252	171	505
253	171	503
254	172	503
255	172	502
256	173	500
257	173	499
258	174	498
259	174	496
260	174	495
261	175	493
262	175	492
263	176	490
264	176	489
265	176	487
266	177	486
267	177	484
268	177	483
269	178	481
270	178	480
271	178	479
272	179	477
273	179	476
274	180	474
275	180	473
276	180	471
277	181	470
278	181	469
279	181	467
280	182	466
281	182	465
282	183	463
283	183	462
